Number,Question,Answer,Score
11,Фома Аквинский систематизатор средневековой схоластики. Спор об универсалиях.,"Фома Аквинский (XIII в.) — вершина средневековой схоластики, создавший фундаментальный синтез философии Аристотеля и христианского богословия (томизм). Его главный труд — «Сумма теологии». Ключевой принцип его системы — гармония веры и разума. Поскольку оба источника истины происходят от Бога, они не могут противоречить друг другу. Разум способен познать многое о мире и доказать бытие Бога (знаменитые «Пять путей»: от движения, действующей причины, необходимого существа, степеней совершенства и целесообразности), однако высшие религиозные догматы (Троица, сотворение мира из ничего) превосходят возможности разума и постижимы исключительно через божественное откровение.

В многовековом споре об универсалиях (общих понятиях, родах и видах) Фома Аквинский сформулировал концепцию умеренного реализма, которая элегантно примирила крайности крайнего реализма и номинализма. Он утверждал, что универсалии не существуют как самостоятельные субстанции, но обладают тройственным способом бытия:
1. До вещи (ante rem) — существуют в божественном уме как вечные идеи, первообразы и архетипы, по которым Бог творит мир.
2. В вещах (in re) — существуют в самих единичных материальных объектах как их внутренние сущности и формы, определяющие природу каждой конкретной вещи.
3. После вещей (post rem) — существуют в человеческом уме как абстрактные понятия, которые интеллект формирует, отвлекая (абстрагируя) общие признаки от множества единичных предметов, данных в чувственном опыте.",0
12,"Философия Возрождения: основные черты, натурфилософия.","Философия Возрождения (XIV–XVI вв.) знаменует переход от средневекового теоцентризма к антропоцентризму и закладывает идейные основы научной революции Нового времени.

Основные черты:
1. Антропоцентризм и гуманизм: человек провозглашается высшей ценностью, «мерой всех вещей», активным творцом собственной судьбы и соучастником божественного творения, а не пассивным грешником.
2. Пантеизм: стирание жесткой трансцендентной границы между Творцом и творением; Бог мыслится как имманентная, внутренняя причина мира, растворенная в природе («Бог в вещах»).
3. Эстетизм: категория красоты и гармонии становится не только художественной, но и онтологической (красота как проявление божественного порядка) и этической.
4. Реабилитация античного наследия: активное освоение платонизма, стоицизма и эпикуреизма, их творческий синтез с христианством в светском, жизнеутверждающем ключе.

Натурфилософия:
1. Отказ от схоластического догматизма: переход от умозрительных толкований авторитетных текстов к непосредственному наблюдению, опыту и изучению «книги природы».
2. Гелиоцентрическая революция: Н. Коперник («Об обращении небесных сфер») низвергает геоцентрическую систему Птолемея, лишая Землю привилегированного центра Вселенной, что радикально меняет онтологический статус космоса и человека.
3. Космология Дж. Бруно: утверждение бесконечности Вселенной, отсутствия у нее центра и границ, а также множественности обитаемых миров. Природа трактуется как живое, одушевленное, саморазвивающееся целое, в котором материя и форма неразделимы.
4. Предтечи экспериментальной науки: развитие алхимии, магии и герметизма как попыток практического овладения скрытыми силами природы (например, Парацельс в ятрохимии впервые связал медицину с химическими процессами в организме).
5. Зарождение идеи математизации естествознания: формирование представления о том, что фундаментальные законы природы имеют строгую количественную и геометрическую выраженность.",0
13,"Эмпиризм Нового времени. Ф.Бэкон, Д.Локк, Т.Гоббс.","Эмпиризм Нового времени — философское направление, утверждающее, что единственным источником достоверного знания является чувственный опыт, а разум лишь обобщает и систематизирует данные, полученные извне. Отвергает концепцию врожденных идей, делая основной акцент на индуктивном методе познания (движение мысли от частных фактов к общим выводам).

Фрэнсис Бэкон (основоположник):
- Критика схоластики и теория «идолов» (заблуждений), искажающих познание: идолы рода (ограниченность человеческих органов чувств), пещеры (индивидуальные предрассудки), рынка (неточность и двусмысленность языка) и театра (слепая вера в философские авторитеты и догмы).
- Индуктивный метод: постепенный, осторожный переход от единичных эмпирических наблюдений и экспериментов к общим аксиомам, исключающий поспешные умозаключения.
- Цель науки: не абстрактное созерцание, а практическая польза и власть человека над природой («Знание — сила»).

Джон Локк:
- Теория «чистой доски» (tabula rasa): разум человека при рождении пуст, все идеи и знания приобретаются исключительно через опыт.
- Два источника опыта: ощущение (внешний опыт, дающий знания о свойствах внешних объектов) и рефлексия (внутренний опыт, наблюдение ума за собственной деятельностью).
- Разделение качеств на первичные (объективные, реально присущие самим вещам: протяженность, фигура, движение, непроницаемость) и вторичные (субъективные, возникающие только в сознании наблюдателя: цвет, звук, вкус, запах).

Томас Гоббс:
- Механистический материализм: все явления во Вселенной, включая мышление и ощущения, сводятся к механическому движению материальных частиц. Ощущение трактуется как результат внешнего давления тел на органы чувств.
- Номинализм: общие понятия (универсалии) не имеют реального самостоятельного существования в природе, это лишь имена (слова), созданные людьми для удобства классификации и общения.
- Понимание мышления как «счисления» (вычисления): рациональное познание есть операция сложения и вычитания понятий-имен, что заложило философские основы формальной логики и предвосхитило кибернетический подход к разуму.",0
14,"Рационализм Нового времени. Р.Декарт, Б.Спиноза, Г.В.Лейбниц.","Рационализм Нового времени — философское направление, утверждающее, что разум является главным источником достоверного знания и критерием истины, в то время как чувственный опыт считается ненадежным и вторичным. Рационалисты опираются на метод дедукции, математическую строгость и концепцию врожденных идей.

Рене Декарт (основоположник):
- Метод радикального сомнения: сознательный отказ от всех предубеждений и чувственных данных для поиска абсолютно несомненной основы знания.
- Первый принцип: «Я мыслю, следовательно, я существую» (Cogito, ergo sum), подтверждающий существование мыслящего субъекта как единственную неопровержимую истину.
- Дуализм: мир состоит из двух независимых субстанций — мыслящей (дух, сознание) и протяженной (материя, тело), не влияющих друг на друга напрямую.
- Врожденные идеи: фундаментальные понятия (Бог, математические аксиомы, идея совершенства) заложены в разуме изначально и не выводятся из опыта.

Бенедикт Спиноза:
- Монизм: существует только одна бесконечная, самодостаточная субстанция, которую он отождествляет с Богом или Природой (Deus sive Natura).
- Атрибуты и модусы: мышление и протяжение не являются отдельными субстанциями (как у Декарта), а выступают двумя разными атрибутами (способами восприятия) одной и той же единой субстанции. Конкретные вещи — это ее модусы (видоизменения).
- Жесткий детерминизм: все в мире происходит с геометрической необходимостью; свобода понимается не как произвол воли, а как осознанная необходимость и познание причин.
- Метод: изложение философии строго аксиоматико-дедуктивным способом, по образцу геометрии Евклида.

Готфрид Вильгельм Лейбниц:
- Плюрализм: мир состоит из бесконечного множества простых, неделимых, духовных и активных субстанций — монад.
- Свойства монад: они «не имеют окон» (не взаимодействуют друг с другом физически), но каждая монада зеркально отражает всю Вселенную со своей уникальной точки зрения, обладая разной степенью ясности восприятия (от смутных у неживой материи до ясных у человеческого разума).
- Предустановленная гармония: Бог при сотворении мира синхронизировал внутреннее развитие всех монад так, что их состояния идеально согласованы между собой без прямого причинного воздействия.
- Принцип достаточного основания: ничто не происходит без достаточной причины, почему оно есть именно так, а не иначе.
- Концепция «лучшего из возможных миров»: Бог, обладая абсолютной благостью и мудростью, выбрал для творения наилучший вариант из всех логически возможных.",0
15,"И. Кант: два периода творчества, агностицизм.","Творчество Иммануила Канта делится на два основных периода:

1. Докритический (до 1770 г.): Кант занимался преимущественно естествознанием и натурфилософией. В работе «Всеобщая естественная история и теория неба» (1755) он выдвинул космогоническую гипотезу о возникновении Солнечной системы из первоначальной газо-пылевой туманности под действием сил гравитации и отталкивания, заложив основы эволюционного взгляда на природу. В этот период он еще допускал возможность познания сущности вещей и был сторонником классической метафизики.

2. Критический (с 1770 г., после защиты диссертации «О формах и принципах чувственного и умопостигаемого мира»): Радикальный пересмотр возможностей человеческого познания. Основные труды: три «Критики» («Критика чистого разума» (1781), «Критика практического разума» (1788), «Критика способности суждения» (1790)). Кант отказывается от догматического утверждения истин, подвергая сомнению способность разума постигать абсолютную реальность вне чувственного опыта.

Агностицизм Канта (который он сам называл «критицизмом») заключается в принципиальном разделении реальности на две сферы:
- Феномены (явления): мир, каким он дан нам в чувственном опыте. Он познаваем, так как структурируется априорными (доопытными) формами чувственности (пространством и временем) и категориями рассудка (причинностью, субстанцией и др.). Наука имеет дело именно с феноменами.
- Ноумены («вещи в себе»): мир вещей, существующих объективно и независимо от нашего сознания. Эта сфера принципиально непознаваема для теоретического разума, так как человеческое познание жестко ограничено рамками возможного опыта.

При попытке разума выйти за пределы опыта и познать «вещи в себе» (душу, мир как целое, Бога) возникают неразрешимые логические противоречия — антиномии чистого разума. Это доказывает, что теоретическое познание сверхчувственного невозможно. Ограничив притязания теоретического разума («Я должен был ограничить знание, чтобы освободить место вере»), Кант переносит вопросы о Боге, свободе и бессмертии в сферу практического (нравственного) разума, где они выступают не как объекты научного знания, а как необходимые моральные постулаты.",0
16,Этика И.Канта.,"Этика Иммануила Канта представляет собой строгую деонтологическую (основанную на понятии долга) систему, в которой мораль абсолютно автономна и не зависит от эмпирических факторов, религии, личной выгоды или стремления к счастью. Высшим и единственным безусловным благом является «добрая воля» — способность действовать исключительно из уважения к моральному закону.

Действие имеет подлинную моральную ценность только тогда, когда оно совершается не просто «согласно долгу» (что может диктоваться личной склонностью, симпатией или расчетом), а именно «ради долга» — из сознательного подчинения разумному нравственному требованию.

Фундаментальный принцип кантовской этики — категорический императив, выступающий как безусловное нравственное требование. Он имеет две основные формулировки:
1. Формула универсализации: «Поступай только согласно такой максиме, руководствуясь которой ты в то же время можешь пожелать, чтобы она стала всеобщим законом». Это формальный критерий моральности: правило считается нравственным, только если его могут без противоречия соблюдать все люди.
2. Формула человечности: «Поступай так, чтобы ты всегда относился к человечеству и в своем лице, и в лице всякого другого так же как к цели и никогда не относился бы к нему только как к средству». Эта формула утверждает абсолютную, самоценную значимость каждой разумной личности, категорически запрещая использовать человека как инструмент для достижения чужих целей.

Для обоснования возможности исполнения морального закона и достижения «высшего блага» (идеального, пропорционального соединения добродетели и счастья, недостижимого в земной жизни) Кант вводит три постулата практического разума:
1. Свобода воли (без трансцендентальной свободы невозможно говорить о моральной ответственности и самом понятии долга).
2. Бессмертие души (необходимо для бесконечного прогресса в достижении нравственного совершенства и святости воли).
3. Существование Бога (выступает высшим моральным законодателем и гарантом того, что в конечном итоге добродетель будет справедливо вознаграждена счастьем).

Таким образом, мораль у Канта носит рациональный, всеобщий и императивный характер, возводя человеческую свободу, разум и достоинство в абсолют.",0
17,"Философия Гегеля: диалектика, принцип триады, система и метод.","Философия Г.В.Ф. Гегеля представляет собой вершину немецкой классической философии и наиболее полную систему объективного идеализма. Первоосновой мира выступает Абсолютная идея (Мировой дух), которая развивается через три стадии: в себе (логика, чистое мышление), вне себя (природа, отчуждение идеи в материю) и для себя (дух, возвращение идеи к самой себе через человеческое сознание, искусство, религию и философию).

Диалектика Гегеля — это учение о всеобщей связи, развитии и противоречивости бытия. Источник самодвижения находится внутри самого объекта (внутреннее противоречие). Развитие понимается не как простой рост, а как прогрессивный, спиралевидный процесс, где новое отрицает старое, но сохраняет его рациональное зерно (принцип диалектического «снятия»).

Принцип триады — универсальная логическая схема этого движения, состоящая из трех моментов:
1. Тезис (утверждение, исходная, непосредственная определенность).
2. Антитезис (отрицание, возникновение внутреннего противоречия и противоположности).
3. Синтез (отрицание отрицания, разрешение противоречия и переход на новый, более высокий уровень целостности, объединяющий черты предыдущих стадий). Классический пример: Бытие → Ничто → Становление.

Противоречие системы и метода — ключевая проблема гегелевской философии:
- Метод (диалектический) революционен и открыт: он утверждает вечность процесса развития, историчность и преходящий характер любых явлений, отрицая существование окончательных, застывших истин.
- Система (энциклопедическая) консервативна и замкнута: она требует завершенности, абсолютной полноты и конечной точки развития. Гегель вынужденно объявил свою собственную философию абсолютной истиной, а современное ему прусское государство — венцом исторического развития мирового духа.

В результате консервативная система подавила собственный революционный метод, что привело к распаду гегельянства на «правых» (охранителей системы) и «левых» (радикалов, включая К. Маркса, который отбросил идеалистическую оболочку, материалистически переработав диалектический метод).",0
18,Философия всеединства. В.Соловьев.,"Философия всеединства В.С. Соловьева — центральное направление русской религиозной философии, утверждающее, что истинная реальность есть органическое, духовно-материальное целое, в котором все элементы взаимосвязаны и устремлены к Абсолюту (Богу).

Основные положения:
1. Идея всеединства: мир не является хаотичным скоплением разрозненных объектов. Разделение на субъект и объект, дух и материю — результат космического отчуждения, которое должно быть преодолено в процессе эволюции.
2. Учение о Софии (Премудрости Божией): София выступает как «душа мира», идеальное начало и связующее звено между Богом и тварным миром. Она есть вечная женственность, идеальный прообраз, тело Бога и цель космического развития.
3. Три ступени бытия:
   - Абсолютное: Бог как чистая возможность, полнота бытия и первооснова всего.
4. Идеальное: мир вечных идей, логос, сфера Софии.
5. Материальное: физический мир, характеризующийся раздробленностью, но обладающий внутренним стремлением к воссоединению с Абсолютом.
6. Концепция Богочеловечества: исторический процесс есть активное движение мира к восстановлению утраченного единства с Богом. Это не пассивное ожидание, а свободное участие человека в «обожении» материи и одухотворении природы. Христос рассматривается как центральный пункт этого процесса, реально соединяющий божественное и человеческое начала.
7. Этика («Оправдание добра»): нравственность базируется на трех врожденных чувствах: стыде (уважение к собственному достоинству и телесности), жалости (сострадание к другим, преодоление эгоизма) и благоговении (почитание высших ценностей и Абсолюта). Истинная мораль требует не аскетического отказа от мира, а его активного преображения и свободного воссоединения с Богом через любовь.",0
19,Природа человека и творчества в философии Н.Бердяева.,"Человек в философии Н.А. Бердяева — это микрокосм, средоточие духовного и природного начал, существо, сущность которого определяется не разумом или биологией, а абсолютной свободой. Антропология Бердяева персоналистична: высшая ценность — уникальная, неповторимая личность (персона), которая не растворима в роде, обществе или государстве. Свобода изначальна, безосновна (непостижимая бездна, «Ungrund») и не сотворена Богом; она предшествует бытию. Человек призван преодолеть свою природную ограниченность, победить в себе рабство и реализовать божественное начало.

Творчество — центральная категория его философии и высшее, богоподобное предназначение человека. Это не просто создание культурных, научных или художественных ценностей, а онтологический и религиозный акт, продолжение Божьего творения (восьмой день творения). Через творчество человек преодолевает падший, «объективированный» мир — мир несвободы, отчуждения, где дух порабощен материей и необходимостью. Творчество есть прорыв из царства необходимости в царство свободы. Оно носит эсхатологический характер, направляя мир к духовному преображению. Главный смысл творчества не в его материальном результате (который неизбежно объективируется и отчуждается), а в самом процессе духовного освобождения, прорыва к вечности и обожения человека.",0
20,"Русский космизм: Н.Федоров, К.Э.Циолковский.","Русский космизм — уникальное философско-научное направление конца XIX – начала XX в., объединяющее идеи о неразрывной связи космоса и человечества, активной эволюции и космическом предназначении человека.

Николай Федоров (основоположник, «Философия общего дела»):
- Главная цель человечества — преодоление смерти, достижение физического бессмертия и воскрешение всех когда-либо живших предков.
- Средства достижения: объединение всего человечества в «братство», подчинение слепых сил природы разуму (регуляция природы), активное освоение космоса (так как Земля станет тесна для воскрешенных поколений).
- Этический императив: наука и техника должны служить не разрушению, а решению этой «общей задачи» — победе над смертью.

Константин Циолковский (космическая философия и активная эволюция):
- Главная идея: человечество должно покинуть Землю и заселить всю Вселенную. Земля — это «колыбель разума», но нельзя вечно жить в колыбели.
- Концепция активной эволюции: человек должен взять свое дальнейшее развитие в собственные руки, преодолев биологические ограничения и смертность с помощью науки и техники.
- Панпсихизм: Вселенная мыслится как живой организм. Атомы бессмертны и обладают зачатками чувствительности, а смерть — лишь временная дезорганизация сложных структур.
- Социальный идеал: высокоорганизованное, разумное общество, живущее в гармонии с космическими законами, где наука и нравственность неразделимы.",0
21,Концепция ноосферы В.Вернадского.,"Концепция ноосферы В.И. Вернадского описывает закономерный этап эволюции биосферы, на котором человеческий разум и научно-техническая деятельность становятся главной планетарной (геологической) силой. Ноосфера («сфера разума») — это биосфера, качественно преобразованная научной мыслью и сознательным трудом человечества.

Вернадский выделил комплекс необходимых условий для становления ноосферы:
1. Заселение человеком всей планеты и отсутствие «пустых» пространств.
2. Резкое преобразование средств связи и обмена между странами.
3. Усиление политических и экономических связей между государствами.
4. Преобладание геологической роли человека над другими геологическими процессами.
5. Расширение границ биосферы и выход в космос.
6. Открытие новых, мощных источников энергии.
7. Равенство людей и возрастание роли народных масс в решении социальных и политических вопросов.
8. Господство научной мысли как ведущей планетарной силы.

Философский смысл концепции заключается в том, что переход к ноосфере не является автоматическим следствием технического прогресса. Он требует гармоничного взаимодействия общества и природы, рационального природопользования, глобальной экологической ответственности и гуманистической направленности развития. Человек не является внешней, разрушительной силой по отношению к биосфере, он ее естественная часть, и его дальнейшее существование возможно только при условии сохранения целостности, устойчивости и управляемого развития единой системы «природа – общество – человек».",0
22,"Философия прагматизма: Ч. Пирс, У. Джеймс.","Прагматизм — направление в философии (возникло в США в конце XIX в.), утверждающее, что смысл любого понятия, теории или убеждения определяется его практическими последствиями, а истина оценивается не по абстрактному соответствию объективной реальности, а по степени полезности и успешности в человеческой деятельности.

Чарльз Сандерс Пирс (основатель):
- Сформулировал «прагматическую максиму»: смысл концепции или суждения полностью исчерпывается суммой всех его мыслимых практических следствий.
- Истина понимается как регулятивный идеал научного познания — то мнение, с которым в пределе согласится неограниченное сообщество исследователей в результате бесконечного применения научного метода.
- Делал основной акцент на логике, семиотике и строгой научной методологии, дистанцируясь от субъективизма.

Уильям Джеймс (популяризатор и радикализатор):
- Перенес акцент с научного сообщества на индивидуальный опыт, психологию и повседневную жизнь.
- Концепция «денежной ценности» идеи: истина — это то, что «работает», приносит практическую пользу, удовлетворяет потребности и помогает успешно ориентироваться в реальности. Истина не дана статично, она «делается» и проверяется в процессе жизненного опыта.
- «Воля к вере»: в ситуациях, где рациональных или эмпирических доказательств недостаточно (например, в вопросах морали, смысла жизни или религии), человек имеет моральное право принять веру, если она приносит положительные жизненные результаты и помогает преодолеть экзистенциальную неуверенность.
- Плюралистическая вселенная: мир не является замкнутой, жестко детерминированной системой (как в монизме), он открыт, многовариантен и постоянно достраивается в процессе человеческого выбора и действия.",0
23,"Философия жизни. А.Шопенгауэр, Ф.Ницше, А.Бергсон.","Философия жизни — иррационалистическое направление конца XIX – начала XX вв., провозглашающее «жизнь» (как иррациональную, динамичную, творческую силу) высшим онтологическим принципом, противопоставляемым рационализму и механистическому детерминизму.

Артур Шопенгауэр: Фундаментальная основа мира — слепая, иррациональная, ненасытная «Мировая Воля», проявляющаяся в природе и человеке. Разум вторичен и служит лишь инструментом Воли. Поскольку желания бесконечны, а их удовлетворение временно, жизнь по своей сути есть страдание (маятник между болью и скукой). Пути освобождения: эстетическое созерцание (искусство, особенно музыка) и аскетическое подавление воли к жизни.

Фридрих Ницше: Движущая сила бытия — «Воля к власти», стремление к самоутверждению, росту и преодолению себя, а не просто к биологическому выживанию. Радикальная критика традиционной (христианской) морали как «морали рабов», подавляющей жизненные инстинкты. Идеал «сверхчеловека» — творческой личности, которая самостоятельно создает новые ценности «по ту сторону добра и зла», принимает идею вечного возвращения и безоговорочно утверждает жизнь во всех ее проявлениях.

Анри Бергсон: Первооснова мира — творческая эволюция, движимая «жизненным порывом» (élan vital). Противопоставление научного, пространственного, измеряемого времени подлинному «длитель» (durée) — непрерывному, качественному, внутренне переживаемому потоку сознания. Интеллект пригоден лишь для анализа мертвой, статичной материи, тогда как постижение живой реальности возможно только через интуицию — непосредственное вживание в предмет и симпатическое постижение его внутренней динамики.",0
24,Психоанализ З.Фрейд.,"Психоанализ З. Фрейда — направление, постулирующее, что поведение, мышление и психика человека определяются в первую очередь бессознательными влечениями, а не разумом. Фрейд совершил «коперниканский переворот» в антропологии, лишив сознание статуса абсолютного хозяина в собственном доме.

Структура личности (структурная модель):
1. Ид (Оно) — врожденная, полностью бессознательная часть психики. Источник базовой психической энергии (либидо) и инстинктов (Эрос — влечение к жизни, Танатос — влечение к смерти и разрушению). Подчиняется «принципу удовольствия», требуя немедленного удовлетворения потребностей.
2. Эго (Я) — сознательная и частично предсознательная часть, выполняющая функцию посредника между импульсами Ид, требованиями внешнего мира и запретами Супер-Эго. Функционирует по «принципу реальности», рационально оценивая обстановку и находя социально приемлемые способы разрядки напряжения.
3. Супер-Эго (Сверх-Я) — внутренний моральный цензор, формирующийся в процессе социализации и усвоения культурных норм. Включает идеалы, совесть и чувство вины. Подчиняется «принципу долженствования».

Психологические конфликты и защита:
Невроз возникает из-за острого конфликта между подавленными, социально неприемлемыми желаниями Ид и жесткими запретами Супер-Эго. Для снижения тревоги Эго использует механизмы психологической защиты: вытеснение, проекцию, отрицание, рационализацию. Наиболее продуктивным механизмом Фрейд считал сублимацию — перенаправление сексуальной или агрессивной энергии в социально одобряемые формы деятельности (науку, искусство, труд).

Методы исследования бессознательного:
- Анализ сновидений («королевская дорога к бессознательному»), где скрытое содержание трансформируется в явное через работу сновидения.
- Метод свободных ассоциаций.
- Анализ оговорок, ошибок и сопротивления пациента в процессе терапии.

Философское значение: радикальная критика просвещенческого рационализма, обоснование иррациональной природы человека, выявление глубинных, неосознаваемых мотивов человеческой деятельности и их влияния на культуру и общество.",0
25,Неофрейдизм. К.Юнг. Э.Фромм.,"Неофрейдизм — направление в психоанализе, пересматривающее классическую теорию З. Фрейда путем смещения акцента с биологических инстинктов (либидо) на социальные, культурные и межличностные факторы формирования личности и неврозов.

Карл Густав Юнг (аналитическая психология):
- Расширил понятие либидо до универсальной психической энергии, а не только сексуального влечения.
- Ввел концепцию коллективного бессознательного — наследуемого, общечеловеческого пласта психики, содержащего архетипы (универсальные первообразы: Персона, Тень, Анима/Анимус, Самость).
- Индивидуация — процесс интеграции сознательного и бессознательного, ведущий к психологической целостности личности и реализации Самости.
- Теория психологических типов: базовое деление на экстраверсию и интроверсию, а также классификация по доминирующим функциям (мышление, чувство, ощущение, интуиция).

Эрих Фромм (гуманистический психоанализ):
- Синтезировал психоанализ с марксизмом и гуманизмом, исследуя влияние социоэкономических условий на психику.
- Проблема свободы: историческое освобождение человека от традиционных связей порождает экзистенциальное одиночество, изоляцию и тревогу.
- Механизмы «бегства от свободы»: авторитаризм (стремление подчиниться или господствовать), деструктивность (стремление уничтожить угрожающий мир) и автоматический конформизм (полное растворение личности в массовой культуре).
- Продуктивная ориентация: здоровый тип личности, способный к творческому труду, рациональному познанию и зрелой любви, преодолевающий социальное отчуждение.
- Социальный характер — совокупность черт, разделяемых большинством членов конкретного общества и формируемых его экономической структурой для обеспечения его функционирования.",0
26,"Экзистенциализм: Ж.-П.Сартр, А. Камю, К.Ясперс.","Экзистенциализм (философия существования) — направление, ставящее в центр внимания уникальность человеческого бытия, его свободу, ответственность и поиск смысла в абсурдном мире. Главный онтологический тезис: «существование предшествует сущности» (человек не имеет заранее заданной природы, а сам конструирует себя через свободный выбор и действия).

Жан-Поль Сартр: человек «осужден быть свободным». Свобода абсолютна и неразрывно связана с тотальной ответственностью за свой выбор и мир в целом. Сознание (бытие-для-себя) постоянно преодолевает вещный мир (бытие-в-себе). Взаимоотношения с Другим часто носят конфликтный характер, так как взгляд Другого объективирует субъекта и покушается на его свободу («Ад — это другие»).

Альбер Камю (философия абсурда): мир иррационален и безразличен к человеческим чаяниям. Столкновение потребности человека в смысле и молчания вселенной рождает абсурд. Единственно достойный ответ на абсурд — не физическое самоубийство и не уход в иллюзии, а бунт. Смысл обретается в самом процессе сопротивления и осознанного проживания жизни (образ мифического Сизифа, обреченного вечно катить камень, но счастливого в своем бунте).

Карл Ясперс: подлинное экзистенциальное существование пробуждается у человека только в «пограничных ситуациях» (столкновение со смертью, тяжелым страданием, виной, неизбежностью), когда рушатся привычные рациональные, научные и социальные схемы. В этих условиях человек осознает свою конечность и свободу. Преодоление отчуждения возможно через глубокую экзистенциальную коммуникацию (духовное общение) с другими свободными личностями и через обращение к Трансценденции (шифру высшей реальности, недоступной чистому рассудку).",0
27,Онтологические проблемы философии. Основные формы бытия.,"Онтология — раздел философии, изучающий бытие как таковое, его фундаментальные принципы, структуру и закономерности. Ключевые онтологические проблемы включают: вопрос о первооснове (субстанции) мира (материя или дух); соотношение бытия и мышления; проблему единства и множественности бытия; его всеобщие характеристики (движение, пространство, время, причинность); иерархию, структуру уровней реальности и проблему небытия (ничто).

Основные формы бытия:
1. Материальное бытие — объективная физическая реальность, существующая независимо от сознания. Включает неживую и живую природу, а также «вторую природу» (искусственно созданные человеком материальные объекты, технику и техносферу).
2. Идеальное (духовное) бытие — мир идей, смыслов, образов и ценностей. Делится на субъективное (индивидуальное сознание, психические процессы, сновидения) и объективное (платоновские эйдосы, гегелевский абсолютный дух, а также объективированные продукты человеческой культуры: язык, наука, искусство, моральные нормы).
3. Бытие человека — специфическая форма, объединяющая его биологическую природу и социальную сущность. Включает экзистенциальное измерение — уникальное, неповторимое проживание индивидом своей жизни, осознание своей конечности, свободу и поиск смысла.
4. Социальное бытие — мир устойчивых социальных отношений, институтов, исторических процессов и совместной деятельности людей. Оно возникает на базе материального и духовного бытия, но обладает собственной объективностью и специфическими законами развития.",0
28,Материя как философская категория. Уровни организации материи.,"Материя — это философская категория для обозначения объективной реальности, которая существует независимо от человеческого сознания и отображается им посредством ощущений. Это субстанциальная основа всего сущего. Ее универсальные атрибуты: объективность, несотворимость, неуничтожимость, всеобщность, способность к движению, пространственно-временная протяженность и отражение.

Уровни структурной организации материи:
1. Неживая (неорганическая) материя:
   - Микромир: элементарные частицы, атомы, молекулы. Подчиняется законам квантовой механики.
   - Макромир: макроскопические физические тела, планеты, звезды, галактики. Описывается законами классической механики и термодинамики.
   - Мегамир: метагалактики, скопления галактик, Вселенная как целое. Изучается космологией.
2. Живая (органическая) материя:
   - Молекулярно-генетический, клеточный, организменный, популяционно-видовой, биоценотический уровни и биосфера в целом. Характеризуется обменом веществ, раздражимостью, наследственностью, изменчивостью и способностью к самовоспроизводству.
3. Социальная материя:
   - Индивид, социальная группа, общество, мировая система цивилизаций. Возникает на базе биологической, но имеет качественную специфику: сознательную целеполагающую деятельность, труд, производство и культурные нормы.

Принцип системности: каждый высший уровень включает в себя низшие уровни как подчиненные элементы, но обладает эмерджентными (системными) свойствами, которые принципиально не сводятся к сумме свойств элементов нижнего уровня (принцип антиредукционизма).",0
29,Движение и развитие. Формы движения материи. Типы связей между ними.,"Движение — всеобщий способ бытия материи, означающий любое изменение и взаимодействие материальных систем. Развитие — частный, но важнейший случай движения: это направленное, необратимое, закономерное изменение, ведущее к возникновению нового качественного состояния (переход от простого к сложному, от низшего к высшему).

Основные формы движения материи (расположены по возрастанию структурной сложности):
1. Механическая — пространственное перемещение макротел относительно друг друга.
2. Физическая — тепловые, электромагнитные, гравитационные и внутриатомные процессы.
3. Химическая — превращение веществ, образование и разрыв химических связей.
4. Биологическая — обмен веществ, размножение, наследственность, изменчивость и эволюция живой природы.
5. Социальная — функционирование и развитие человеческого общества, производство материальных и духовных благ, исторические процессы.

Типы связей между формами движения:
1. Генетическая: более сложные формы исторически возникают на базе более простых (биологическая форма зародилась на основе химической, социальная — на основе биологической).
2. Структурная (иерархическая): высшие формы включают в себя низшие в качестве подчиненного структурного элемента, но принципиально не сводятся к ним (принцип антиредукционизма).
3. Функциональная: высшие формы активно управляют, регулируют и организуют низшие, придавая им новое системное качество (принцип эмерджентности, при котором целое обладает свойствами, отсутствующими у его частей).",0
30,Пространство и время как способы бытия материи: 2 концепции.,"Пространство и время — всеобщие формы бытия материи. Пространство характеризует порядок сосуществования объектов, их протяженность и структуру. Время характеризует порядок смены состояний, длительность процессов и необратимость развития.

В философии и науке выделяют две основные концепции их понимания:

1. Субстанциальная концепция. Пространство и время рассматриваются как самостоятельные сущности (субстанции), существующие независимо от материальных объектов и их движения. Материя помещена в них как в «пустой контейнер» или «вместилище». Свойства пространства (трехмерность, евклидовость) и времени (одномерность, равномерный ход, абсолютная одновременность) считаются абсолютными и неизменными. Классическое обоснование дал И. Ньютон в рамках механистической картины мира.

2. Реляционная концепция. Пространство и время не существуют сами по себе, а являются системами отношений между материальными объектами и событиями. Без материи нет ни пространства, ни времени. Их метрические свойства (расстояния, длительности, темп течения времени) не абсолютны, а зависят от распределения массы, энергии и скорости движения материи. Философские основания заложил Г. Лейбниц, а научное подтверждение концепция получила в специальной и общей теории относительности А. Эйнштейна, где пространство и время объединены в единый четырехмерный континуум, искривляемый гравитационными полями.

Современная наука в целом подтверждает правоту реляционной концепции, однако в области квантовой гравитации сохраняется гипотеза о возможной дискретной (квантованной) структуре пространства-времени на фундаментальном (планковском) уровне.",0
